POS	DRIVER	CAR	MANUFACTURER
1	Alex Bowman (leads on lap 386)	48	Chevrolet
2	Kyle Larson	5	Chevrolet
3	Chase Elliott	9	Chevrolet
4	William Byron	24	Chevrolet
5	Kevin Harvick	4	Ford
6	Joey Logano	22	Ford
7	Tyler Reddick	8	Chevrolet
8	Daniel Suarez	99	Chevrolet
9	Denny Hamlin	11	Toyota
10	Cole Custer	41	Ford
11	Bubba Wallace	23	Toyota
12	Ryan Blaney	12	Ford
13	Kurt Busch	1	Chevrolet
14	Austin Dillon	3	Chevrolet
15	Ross Chastain	42	Chevrolet
16	Brad Keselowski	2	Ford
17	Chris Buescher	17	Ford
17	Chase Briscoe	14	Ford
18	Ryan Preece	37	Chevrolet
19	Martin Truex Jr.	19	Toyota
20	Ricky Stenhouse Jr.	47	Chevrolet
21	Christopher Bell	20	Toyota
22	Erik Jones	43	Chevrolet
23	Ryan Newman	6	Ford
24	Matt DiBenedetto	21	Ford
25	Michael McDowell	34	Ford
26	Corey LaJoie	7	Chevrolet
27	Kyle Busch	18	Toyota
28	Anthony Alfredo	38	Ford
29	Quin Houff	00	Chevrolet
30	Josh Berry	77	Chevrolet
31	Cody Ware	51	Chevrolet
32	Garrett Smithley	53	Chevrolet
33	Josh Bilicki	52	Ford
34	James Davison	15	Chevrolet
35	B.J. McLeod	78	Ford
36	Chase Briscoe	14	Ford
37	Aric Almirola	10	Ford
